,Unnamed: 0,fasta,scaffold,gene_position,start_position,end_position,strandedness,rank,ko_id,kegg_hit,peptidase_id,peptidase_family,peptidase_hit,peptidase_RBH,peptidase_identity,peptidase_bitScore,peptidase_eVal,pfam_hits,cazy_ids,cazy_hits,cazy_subfam_ec,cazy_best_hit,heme_regulatory_motif_count
46550,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_27,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,27,21766,22677,1,C,K07506,AraC family transcriptional regulator,,,,,,,,Helix-turn-helix domain [PF12833.10],,,,,0
46551,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_28,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,28,22852,23172,1,E,,,,,,,,,,,,,,,0
46552,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_29,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,29,23169,24677,-1,D,,,,,,,,,,Type IV secretion-system coupling protein DNA-binding domain [PF10412.12],,,,,0
46553,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_30,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,30,24674,25147,-1,E,,,,,,,,,,,,,,,0
46554,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_31,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,31,25144,25851,-1,D,,,,,,,,,,ATPase MipZ [PF09140.14],,,,,0
46555,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_32,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,32,25855,26238,-1,E,,,,,,,,,,,,,,,0
46556,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_33,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,33,26558,29200,1,D,,,,,,,,,,TrwC relaxase [PF08751.14]; AAA domain [PF13604.9]; AAA domain [PF13086.9]; AAA domain [PF13401.9]; PIF1-like helicase [PF05970.17],,,,,0
46557,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2126796_34,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2126796,34,29197,29547,1,E,,,,,,,,,,,,,,,0
47436,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_1,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,1,1,627,1,E,,,,,,,,,,,,,,,0
47437,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_2,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,2,624,1139,1,D,,,,,,,,,,NADPH-dependent FMN reductase [PF03358.18]; Flavodoxin-like fold [PF02525.20]; Flavodoxin domain [PF12724.10],,,,,0
47438,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_3,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,3,1247,1459,1,E,,,,,,,,,,,,,,,0
47439,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_4,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,4,1469,1675,1,E,,,,,,,,,,,,,,,0
47440,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_5,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,5,1656,1895,1,E,,,,,,,,,,,,,,,0
47441,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_6,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,6,1870,2151,-1,E,,,,,,,,,,,,,,,0
47442,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_7,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,7,2148,3074,-1,D,,,,,,,,,,Replication initiator protein A [PF10134.12],,,,,0
47443,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_8,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,8,3226,3864,-1,D,,,,,,,,,,Phage integrase family [PF00589.25],,,,,0
47444,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_2783220_9,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_2783220,9,4205,4378,1,E,,,,,,,,,,,,,,,0
48020,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_1,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,1,315,662,-1,E,,,,,,,,,,,,,,,0
48021,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_2,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,2,1000,1593,-1,E,,,,,,,,,,,,,,,0
48022,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_3,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,3,1629,2036,1,D,,,MER0509006,S24,MER0509006 - family S24 unassigned peptidases (Sphingomonas sp. MM-1) [S24.UPW]#S24#{peptidase unit: 87-213}~source YP_007617303~,False,0.819,216.0,4.916e-64,Peptidase S24-like [PF00717.26],,,,,0
48023,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_4,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,4,2070,3341,-1,C,K07154,serine/threonine-protein kinase HipA [EC:2.7.11.1],,,,,,,,HipA-like C-terminal domain [PF07804.15]; HipA N-terminal domain [PF13657.9],,,,,0
48024,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_5,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,5,3338,3592,-1,C,K15773,HTH-type transcriptional regulator / antitoxin HipB,,,,,,,,Helix-turn-helix [PF01381.25],,,,,0
48025,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_6,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,6,3716,6646,-1,D,,,,,,,,,,TrwC relaxase [PF08751.14]; AAA domain [PF13604.9]; DNA relaxase TraI 2B/2B-like domain [PF18340.4],,,,,0
48026,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_7,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,7,6684,9023,-1,C,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8],,,,,,,,Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; Type IV secretory system Conjugative DNA transfer [PF02534.17]; TraM recognition site of TraD and TraG [PF12696.10],,,,,0
48027,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_8,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,8,9020,9346,-1,E,,,,,,,,,,,,,,,0
48028,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_9,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,9,9897,10325,1,E,,,,,,,,,,,,,,,0
48029,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_10,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,10,10172,11704,-1,C,K03446,"MFS transporter, DHA2 family, multidrug resistance protein",,,,,,,,Major Facilitator Superfamily [PF07690.19]; Fungal trichothecene efflux pump (TRI12) [PF06609.16]; Sugar (and other) transporter [PF00083.27],,,,,0
48030,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_11,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,11,11707,12852,-1,C,K03543,"membrane fusion protein, multidrug efflux system",,,,,,,,Cation efflux system protein CusB domain 1 [PF00529.23]; Barrel-sandwich domain of CusB or HlyD membrane-fusion [PF16576.8]; HlyD family secretion protein [PF13437.9]; Biotin-lipoyl like [PF13533.9],,,,,0
48031,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_12,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,12,12849,14300,-1,D,,,,,,,,,,Outer membrane efflux protein [PF02321.21],,,,,0
48032,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_13,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,13,14290,14703,-1,D,,,,,,,,,,Domain of unknown function (DUF4442) [PF14539.9]; Thioesterase superfamily [PF03061.25],,,,,0
48033,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_14,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,14,14700,15584,-1,D,,,MER0039385,S33,MER0039385 - family S33 unassigned peptidases (Novosphingobium aromaticivorans) [S33.UPW]#S33#{peptidase unit: 48-278}~source YP_001165676~,True,0.848,405.0,2.465e-126,"Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]",,,,,0
48034,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_15,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,15,15666,16112,1,C,K06075,"MarR family transcriptional regulator, transcriptional regulator for hemolysin",,,,,,,,MarR family [PF01047.25]; MarR family [PF12802.10]; Winged helix DNA-binding domain [PF13463.9],,,,,0
48035,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_16,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,16,16367,16684,-1,C,K07726,putative transcriptional regulator,,,,,,,,"Antitoxin component of bacterial toxin-antitoxin system, MqsA [PF15731.8]; Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]",,,,,0
48036,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_17,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,17,16668,17090,-1,D,,,,,,,,,,RelE toxin of RelE / RelB toxin-antitoxin system [PF06296.15],,,,,0
48037,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_18,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,18,17059,18300,-1,D,,,,,,,,,,Phage integrase family [PF00589.25]; Arm DNA-binding domain [PF13356.9],,,,,0
48038,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_19,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,19,18297,19529,-1,D,,,,,,,,,,"Phage integrase family [PF00589.25]; Arm DNA-binding domain [PF13356.9]; Phage integrase, N-terminal SAM-like domain [PF14659.9]",,,,,0
48039,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_20,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,20,19810,20046,-1,E,,,,,,,,,,,,,,,0
48040,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_21,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,21,20401,20631,1,D,,,,,,,,,,Family of unknown function (DUF6437) [PF20031.2],,,,,0
48041,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_22,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,22,20748,21140,-1,C,K03111,single-strand DNA-binding protein,,,,,,,,Single-strand binding protein family [PF00436.28],,,,,0
48042,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_23,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,23,21497,21889,-1,E,,,,,,,,,,,,,,,0
48043,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_24,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,24,21902,22336,-1,E,,,,,,,,,,,,,,,0
48044,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_25,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,25,22465,23418,-1,D,,,,,,,,,,"YspA, cpYpsA-related SLOG family [PF10686.12]",,,,,0
48045,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_26,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,26,23692,24423,-1,D,,,,,,,,,,RES domain [PF08808.14],,,,,0
48046,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_27,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,27,24395,24772,-1,D,,,,,,,,,,Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain [PF09722.13],,,,,0
48047,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_28,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,28,24855,25784,-1,D,,,,,,,,,,Zincin-like metallopeptidase [PF18818.4]; N-terminal domain of anti-restriction factor ArdC [PF08401.14],,,,,0
48048,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_29,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,29,25945,27990,-1,C,K03497,"ParB family transcriptional regulator, chromosome partitioning protein",,,,,,,,ParB/Sulfiredoxin domain [PF02195.21],,,,,0
48049,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_30,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,30,28173,28859,1,E,,,,,,,,,,,,,,,0
48050,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_31,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,31,28852,29712,1,D,,,,,,,,,,"Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.14]",,,,,0
48051,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_32,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,32,29742,30650,-1,D,,,,,,,,,,Toprim domain [PF13362.9]; CHC2 zinc finger [PF01807.23],,,,,0
48052,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_33,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,33,30778,31455,1,D,,,,,,,,,,Transglycosylase SLT domain [PF01464.23],GH23,GH23 lysozyme type G (EC 3.2.1.17); peptidoglycan lyase (EC 4.2.2.n1) also known in the literature as peptidoglycan lytic transglycosylase; chitinase (EC 3.2.1.14),"3.2.1.17,3.2.1.17_or_4.2.2.n1,4.2.2.n1",GH23.hmm,0
48053,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_674432_34,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_674432,34,31696,31884,-1,E,,,,,,,,,,,,,,,0
48054,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_1,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,1,246,1892,-1,E,,,,,,,,,,,,,,,0
48055,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_2,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,2,1914,2123,-1,E,,,,,,,,,,,,,,,0
48056,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_3,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,3,2199,2465,-1,C,K07733,prophage regulatory protein,,,,,,,,Prophage CP4-57 regulatory protein (AlpA) [PF05930.15]; Helix-turn-helix domain [PF12728.10],,,,,0
48057,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_4,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,4,2511,4076,-1,C,K03205,type IV secretion system protein VirD4 [EC:7.4.2.8],,,,,,,,Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; Type IV secretory system Conjugative DNA transfer [PF02534.17]; TraM recognition site of TraD and TraG [PF12696.10],,,,,0
48058,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_5,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,5,4073,4639,-1,E,,,,,,,,,,,,,,,0
48059,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_6,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,6,4668,7424,-1,D,,,,,,,,,,TrwC relaxase [PF08751.14]; AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17],,,,,0
48060,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid___k121_677901_7,greatmiami_2019_sw_WHONDRS-S19S_0099_B_1000.plasmid__,k121_677901,7,7424,7759,-1,E,,,,,,,,,,,,,,,0
48189,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1082905_1,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1082905,1,642,1073,1,E,,,,,,,,,,,,,,,0
48190,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1082905_2,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1082905,2,1115,1546,-1,D,,,,,,,,,,Domain of unknown function DUF29 [PF01724.19],,,,,0
48191,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1082905_3,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1082905,3,1810,2181,1,E,,,,,,,,,,,,,,,0
48192,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1082905_4,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1082905,4,2227,3189,-1,D,,,,,,,,,,Initiator Replication protein [PF01051.24],,,,,0
48193,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1082905_5,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1082905,5,3302,3571,1,E,,,,,,,,,,,,,,,0
48201,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_110091_1,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_110091,1,1,1107,-1,D,,,,,,,,,,Transposase IS66 family [PF03050.17]; Transposase C of IS166 homeodomain [PF13007.10],,,,,0
48202,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_110091_2,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_110091,2,1144,1497,-1,C,K07484,transposase,,,,,,,,IS66 Orf2 like protein [PF05717.16],,,,,0
48203,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_110091_3,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_110091,3,1494,1823,-1,E,,,,,,,,,,,,,,,0
48204,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_110091_4,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_110091,4,1777,2223,-1,D,,,,,,,,,,Relaxase/Mobilisation nuclease domain [PF03432.17],,,,,0
48205,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_110091_5,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_110091,5,2220,2525,-1,E,,,,,,,,,,,,,,,0
48278,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_115356_1,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_115356,1,224,979,-1,D,,,,,,,,,,IstB-like ATP binding protein [PF01695.20]; Bacterial dnaA  protein [PF00308.21],,,,,0
48279,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_115356_2,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_115356,2,1000,2535,-1,E,,,,,,,,,,,,,,,0
48290,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_1,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,1,3,179,1,E,,,,,,,,,,,,,,,0
48291,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_2,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,2,255,1910,1,D,,,,,,,,,,ABC transporter [PF00005.30],,,,,0
48292,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_3,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,3,1920,3221,1,D,,,,,,,,,,HlyD family secretion protein [PF13437.9],,,,,0
48293,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_4,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,4,3205,4689,1,D,,,,,,,,,,Outer membrane efflux protein [PF02321.21],,,,,0
48294,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_5,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,5,4707,5462,1,D,,,,,,,,,,Integral membrane protein TerC family [PF03741.19],,,,,0
48295,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_6,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,6,5452,6186,-1,D,,,,,,,,,,Protein of unknown function (DUF2490) [PF10677.12],,,,,0
48296,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_7,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,7,6239,6895,-1,C,K01673,carbonic anhydrase [EC:4.2.1.1],,,,,,,,Carbonic anhydrase [PF00484.22],,,,,0
48297,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_8,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,8,6927,8555,-1,D,,,,,,,,,,Sulfate permease family [PF00916.23],,,,,0
48298,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_9,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,9,8633,9007,-1,E,,,,,,,,,,,,,,,0
48299,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_10,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,10,9126,10403,-1,D,,,,,,,,,,Citrate transporter [PF03600.19],,,,,0
48300,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_11,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,11,10523,11284,1,D,,,,,,,,,,PcrB family [PF01884.20]; Histidine biosynthesis protein [PF00977.24],,,,,0
48301,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_12,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,12,11464,12807,-1,D,,,MER0321343,M28F,MER0321343 - subfamily M28F unassigned peptidases (Solitalea canadensis) [M28.UPF]#M28F#{peptidase unit: 183-421}~source YP_006257041~,True,0.755,368.0,6.768e-111,Peptidase family M28 [PF04389.20],,,,,0
48302,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_13,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,13,12904,13632,-1,C,K02477,"two-component system, LytTR family, response regulator",,,,,,,,Response regulator receiver domain [PF00072.27]; LytTr DNA-binding domain [PF04397.18],,,,,0
48303,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_14,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,14,13743,14816,-1,C,K02478,"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]",,,,,,,,Histidine kinase [PF06580.16],,,,,0
48304,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_15,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,15,15019,16953,1,C,K01662,1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],,,,,,,,"1-deoxy-D-xylulose-5-phosphate synthase [PF13292.9]; Transketolase, pyrimidine binding domain [PF02779.27]; Transketolase, C-terminal domain [PF02780.23]; Transketolase, thiamine diphosphate binding domain [PF00456.24]; Dehydrogenase E1 component [PF00676.23]",,,,,0
48305,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_16,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,16,17096,17740,1,D,,,,,,,,,,"L,D-transpeptidase catalytic domain [PF13645.9]",,,,,0
48306,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_17,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,17,17945,18988,-1,C,K01113,alkaline phosphatase D [EC:3.1.3.1],,,,,,,,PhoD-like phosphatase [PF09423.13],,,,,0
48307,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_18,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,18,19180,20361,-1,D,,,,,,,,,,"Oxidoreductase family, C-terminal alpha/beta domain [PF02894.20]; Oxidoreductase family, NAD-binding Rossmann fold [PF01408.25]",,,,,0
48308,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_19,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,19,21602,22444,1,E,,,,,,,,,,,,,,,0
48309,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_20,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,20,22540,22881,1,E,,,,,,,,,,,,,,,0
48310,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_21,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,21,22971,24188,1,D,,,,,,,,,,Family of unknown function (DUF5906) [PF19263.2],,,,,0
48311,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid___k121_1222835_22,guil_2019_sw_WHONDRS-S19S_0049_B_1000.plasmid__,k121_1222835,22,24407,24700,1,E,,,,,,,,,,,,,,,0
